id,setting,t,Se,Se_lo,Se_hi,Sp,Sp_lo,Sp_hi,FN,FP,AUC,BS,EC_or_delta,dSp_lo,dSp_hi
A0,majority_t05,0.5,0,0,0.0837987908657039,1,0.94867204780311,1,42,0,0.5,0.371681415929203,NaN,NaN,NaN
A2,svm_rbf_tse98,0.34,0.952380952380952,0.842101476030411,0.986842475091094,0.929577464788732,0.845509868862101,0.969546397560289,2,5,0.986250838363514,0.0429947731021677,0.0422535211267605,-0.0294117647058824,0.111111111111111
A2,svm_linear_tse98,0.16,0.976190476190476,0.876787984262333,0.995784595865567,0.887323943661972,0.793099514891887,0.941787282702071,1,8,0.995305164319249,0.0312024501614905,-0.0422535211267605,-0.111111111111111,0.0294117647058824
A5,mean10_tse98,0.08,0.976190476190476,0.876787984262333,0.995784595865567,0.71830985915493,0.604579829311935,0.809629092968296,1,20,0.974513749161636,0.0618521917151093,NaN,0.614835164835165,0.819444444444444
A5,worst10_tse98,0.09,1,0.916201209134296,1,0.873239436619718,0.776308917213463,0.931854724104352,0,9,0.996311200536553,0.0249149514850877,NaN,0.8,0.945205479452055
A5,all30_tse98,0.34,0.952380952380952,0.842101476030411,0.986842475091094,0.929577464788732,0.845509868862101,0.969546397560289,2,5,0.986250838363514,0.0429947731021677,NaN,0.864406779661017,0.985507246376812
A7_1_1,svm_t_cost,0.33,0.952380952380952,0.876524390243902,1,0.929577464788732,0.864406779661017,0.985507246376812,2,5,0.986250838363514,0.0429947731021677,7,NaN,NaN
A7_3_1,svm_t_cost,0.33,0.952380952380952,0.876524390243902,1,0.929577464788732,0.864406779661017,0.985507246376812,2,5,0.986250838363514,0.0429947731021677,11,NaN,NaN
A7_5_1,svm_t_cost,0.33,0.952380952380952,0.876524390243902,1,0.929577464788732,0.864406779661017,0.985507246376812,2,5,0.986250838363514,0.0429947731021677,15,NaN,NaN
A7_10_1,svm_t_cost,0.33,0.952380952380952,0.876524390243902,1,0.929577464788732,0.864406779661017,0.985507246376812,2,5,0.986250838363514,0.0429947731021677,25,NaN,NaN
