model,point,t,Se,Se_lo,Se_hi,Sp,Sp_lo,Sp_hi,FN,FP,TP,TN,AUC,pAUC90,BS,cal_a,cal_b,ECE,EC
majority,t_cost,0.5,0,0,0.0837987908657039,1,0.94867204780311,1,42,0,0,71,0.5,NaN,0.371681415929203,0,0.0152006038880781,0.371681415929203,210
majority,t_se98,0.5,0,0,0.0837987908657039,1,0.94867204780311,1,42,0,0,71,0.5,NaN,0.371681415929203,0,0.0152006038880781,0.371681415929203,210
majority,t_youden,0.5,0,0,0.0837987908657039,1,0.94867204780311,1,42,0,0,71,0.5,NaN,0.371681415929203,0,0.0152006038880781,0.371681415929203,210
logreg,t_cost,0.32,1,0.916201209134296,1,0.71830985915493,0.604579829311935,0.809629092968296,0,20,42,51,0.988262910798122,0.963782696177062,0.0721135757178703,-1.84351615106263,2.67847509771015,0.137614931217531,20
logreg,t_se98,0.21,1,0.916201209134296,1,0.563380281690141,0.447715430694181,0.672538772548467,0,31,42,40,0.988262910798122,0.963782696177062,0.0721135757178703,-1.84351615106263,2.67847509771015,0.137614931217531,31
logreg,t_youden,0.32,1,0.916201209134296,1,0.71830985915493,0.604579829311935,0.809629092968296,0,20,42,51,0.988262910798122,0.963782696177062,0.0721135757178703,-1.84351615106263,2.67847509771015,0.137614931217531,20
svm_rbf,t_cost,0.33,0.952380952380952,0.842101476030411,0.986842475091094,0.929577464788732,0.845509868862101,0.969546397560289,2,5,40,66,0.986250838363514,0.963447350771294,0.0429947731021677,0.0393890393907154,1.09727822443046,0.0380369508275878,15
svm_rbf,t_se98,0.34,0.952380952380952,0.842101476030411,0.986842475091094,0.929577464788732,0.845509868862101,0.969546397560289,2,5,40,66,0.986250838363514,0.963447350771294,0.0429947731021677,0.0393890393907154,1.09727822443046,0.0380369508275878,15
svm_rbf,t_youden,0.33,0.952380952380952,0.842101476030411,0.986842475091094,0.929577464788732,0.845509868862101,0.969546397560289,2,5,40,66,0.986250838363514,0.963447350771294,0.0429947731021677,0.0393890393907154,1.09727822443046,0.0380369508275878,15
mlp,t_cost,0.32,0.928571428571429,0.809905731988417,0.975409590126694,0.985915492957746,0.92443949479751,0.997509396729456,3,1,39,70,0.993293091884641,0.993293091884641,0.0327578597706138,0.588966727654224,0.182628353533642,0.0329561240571297,16
mlp,t_se98,0.44,0.928571428571429,0.809905731988417,0.975409590126694,0.985915492957746,0.92443949479751,0.997509396729456,3,1,39,70,0.993293091884641,0.993293091884641,0.0327578597706138,0.588966727654224,0.182628353533642,0.0329561240571297,16
mlp,t_youden,0.54,0.928571428571429,0.809905731988417,0.975409590126694,0.985915492957746,0.92443949479751,0.997509396729456,3,1,39,70,0.993293091884641,0.993293091884641,0.0327578597706138,0.588966727654224,0.182628353533642,0.0329561240571297,16
rbfnet,t_cost,0.34,0.952380952380952,0.842101476030411,0.986842475091094,0.929577464788732,0.845509868862101,0.969546397560289,2,5,40,66,0.97551978537894,0.949698189134809,0.0525180787426083,-0.324758570805974,0.735879554968464,0.0538364836756893,15
rbfnet,t_se98,0.22,0.952380952380952,0.842101476030411,0.986842475091094,0.887323943661972,0.793099514891887,0.941787282702071,2,8,40,63,0.97551978537894,0.949698189134809,0.0525180787426083,-0.324758570805974,0.735879554968464,0.0538364836756893,18
rbfnet,t_youden,0.34,0.952380952380952,0.842101476030411,0.986842475091094,0.929577464788732,0.845509868862101,0.969546397560289,2,5,40,66,0.97551978537894,0.949698189134809,0.0525180787426083,-0.324758570805974,0.735879554968464,0.0538364836756893,15
svm_linear,t_cost,0.32,0.952380952380952,0.842101476030411,0.986842475091094,0.971830985915493,0.902984998833505,0.992240736417317,2,2,40,69,0.995305164319249,0.995305164319249,0.0312024501614905,1.33024004097955,2.22328439481949,0.0542191965649992,12
svm_linear,t_se98,0.16,0.976190476190476,0.876787984262333,0.995784595865567,0.887323943661972,0.793099514891887,0.941787282702071,1,8,41,63,0.995305164319249,0.995305164319249,0.0312024501614905,1.33024004097955,2.22328439481949,0.0542191965649992,13
svm_linear,t_youden,0.51,0.904761904761905,0.77934894191429,0.962337751194426,1,0.94867204780311,1,4,0,38,71,0.995305164319249,0.995305164319249,0.0312024501614905,1.33024004097955,2.22328439481949,0.0542191965649992,20
svm_mean,t_cost,0.26,0.952380952380952,0.842101476030411,0.986842475091094,0.830985915492958,0.727408720013665,0.900585452475717,2,12,40,59,0.974513749161636,0.941985244802146,0.0618521917151093,-0.076405723173454,1.01262817366013,0.0507133031772022,22
svm_mean,t_se98,0.08,0.976190476190476,0.876787984262333,0.995784595865567,0.71830985915493,0.604579829311935,0.809629092968296,1,20,41,51,0.974513749161636,0.941985244802146,0.0618521917151093,-0.076405723173454,1.01262817366013,0.0507133031772022,25
svm_mean,t_youden,0.53,0.857142857142857,0.721589105255552,0.932840329840373,0.957746478873239,0.882975839595153,0.985526739379525,6,3,36,68,0.974513749161636,0.941985244802146,0.0618521917151093,-0.076405723173454,1.01262817366013,0.0507133031772022,33
svm_worst,t_cost,0.46,0.976190476190476,0.876787984262333,0.995784595865567,0.971830985915493,0.902984998833505,0.992240736417317,1,2,41,69,0.996311200536553,0.996311200536553,0.0249149514850877,0.148477632259454,1.97970738971863,0.0461413981581732,7
svm_worst,t_se98,0.09,1,0.916201209134296,1,0.873239436619718,0.776308917213463,0.931854724104352,0,9,42,62,0.996311200536553,0.996311200536553,0.0249149514850877,0.148477632259454,1.97970738971863,0.0461413981581732,9
svm_worst,t_youden,0.46,0.976190476190476,0.876787984262333,0.995784595865567,0.971830985915493,0.902984998833505,0.992240736417317,1,2,41,69,0.996311200536553,0.996311200536553,0.0249149514850877,0.148477632259454,1.97970738971863,0.0461413981581732,7
