t,EC,Se,Sp,FN,FP,Se_ge_098
0.2,33,0.982352941176471,0.937062937062937,3,18,1
0.21,33,0.982352941176471,0.937062937062937,3,18,1
0.22,33,0.982352941176471,0.937062937062937,3,18,1
0.23,32,0.982352941176471,0.940559440559441,3,17,1
0.24,30,0.982352941176471,0.947552447552448,3,15,1
0.25,29,0.982352941176471,0.951048951048951,3,14,1
0.26,28,0.982352941176471,0.954545454545455,3,13,1
0.27,28,0.982352941176471,0.954545454545455,3,13,1
0.28,27,0.982352941176471,0.958041958041958,3,12,1
0.29,26,0.982352941176471,0.961538461538462,3,11,1
0.3,25,0.982352941176471,0.965034965034965,3,10,1
0.31,25,0.982352941176471,0.965034965034965,3,10,1
0.32,24,0.982352941176471,0.968531468531469,3,9,1
0.33,22,0.982352941176471,0.975524475524476,3,7,1
0.34,22,0.982352941176471,0.975524475524476,3,7,1
0.35,27,0.976470588235294,0.975524475524476,4,7,0
0.36,27,0.976470588235294,0.975524475524476,4,7,0
0.37,32,0.970588235294118,0.975524475524476,5,7,0
0.38,31,0.970588235294118,0.979020979020979,5,6,0
0.39,31,0.970588235294118,0.979020979020979,5,6,0
0.4,31,0.970588235294118,0.979020979020979,5,6,0
0.41,31,0.970588235294118,0.979020979020979,5,6,0
0.42,31,0.970588235294118,0.979020979020979,5,6,0
0.43,31,0.970588235294118,0.979020979020979,5,6,0
0.44,31,0.970588235294118,0.979020979020979,5,6,0
0.45,30,0.970588235294118,0.982517482517482,5,5,0
0.46,30,0.970588235294118,0.982517482517482,5,5,0
0.47,30,0.970588235294118,0.982517482517482,5,5,0
0.48,30,0.970588235294118,0.982517482517482,5,5,0
0.49,35,0.964705882352941,0.982517482517482,6,5,0
0.5,35,0.964705882352941,0.982517482517482,6,5,0
